#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11J61: Alta Central, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alta Central (11J61) 
# Utah  SNOW COURSE/AERIAL MARKER Site - 8800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Mar 30, 2023 7:23:43 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1984,Jan 01,109,41.1,Feb 01,104,43.3,Mar 01,115,46.9,Apr 01,133,54.1,May 01,151,65.3,Jun 01,54,24.3
1985,Jan 01,72,23.2,Feb 01,73,25.2,Mar 01,87,32.1,Apr 01,112,45.1,May 01,60,30.1,Jun 01,2,0.9
1986,Jan 01,62,18.5,Feb 01,74,23.4,Mar 01,81,33.0,Apr 01,79,36.8,May 01,84,42.6,Jun 01,46,25.6
1987,Jan 01,25,7.0,Feb 01,53,16.5,Mar 01,71,20.8,Apr 01,77,28.0,May 01,26,11.3,Jun 01,0,0.0
1988,Jan 01,45,9.7,Feb 01,56,16.1,,,,,,,,,,,,
1989,Jan 01,70,20.3,Jan 31,66,26.5,Mar 02,81,31.0,Mar 27,88,36.3,May 01,68,28.5,May 31,0,0.0
1990,Jan 03,42,13.4,Feb 01,72,21.5,Mar 01,75,27.9,Mar 30,77,31.9,May 01,52,23.6,May 31,0,0.0
1991,Jan 02,48,13.6,Jan 31,69,21.6,Feb 26,73,24.2,Mar 28,96,33.4,Apr 29,118,39.5,,,
1992,Dec 30,48,16.3,Jan 27,51,18.4,Mar 03,66,23.8,Mar 31,64,26.1,Apr 30,22,10.8,,,
1993,Dec 29,55,16.8,Feb 01,88,30.6,Feb 26,113,37.2,Mar 30,106,42.8,Apr 28,106,48.4,,,
1994,Jan 03,27,7.8,Feb 02,49,15.4,Mar 01,80,27.2,Apr 01,69,27.4,Apr 29,61,23.7,May 31,0,0.0
1995,Dec 28,53,17.3,Jan 31,88,34.7,Mar 01,92,35.8,Mar 30,117,47.2,Apr 28,108,48.4,May 31,101,47.7
