#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 582: Little Bear, UT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Little Bear (582) 
# Utah  SNOTEL Site - 6548 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Mar 30, 2023 7:41:27 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1979,,,10.1,,,13.8,,,18.3,,,18.6,,,0.0,,,0.0
1980,,,1.1,,,8.2,,,11.0,,,16.6,,,0.0,,,0.0
1981,,,3.5,,,4.3,,,5.6,,,7.1,,,0.0,,,0.0
1982,,,6.3,,,13.2,,,11.1,,,16.8,,,0.0,,,0.0
1983,,,7.1,,,10.2,,,15.8,,,17.8,,,9.5,,,0.0
1984,,,17.3,,,19.1,,,24.5,,,25.1,,,19.3,,,0.0
1985,,,9.9,,,11.0,,,16.3,,,18.8,,,0.0,,,0.0
1986,,,11.0,,,14.2,,,18.5,,,9.0,,,0.0,,,0.0
1987,,,0.3,,,3.5,,,6.0,,,9.1,,,0.0,,,0.0
1988,,,2.6,,,7.1,,,8.1,,,6.0,,,0.0,,,0.0
1989,,,9.3,,,12.2,,,14.7,,,6.3,,,0.0,,,0.0
1990,,,1.8,,,6.7,,,8.9,,,0.0,,,0.0,,,0.0
1991,,,4.4,,,5.7,,,6.7,,,9.0,,,0.0,,,0.0
1992,,,2.3,,,2.7,,,3.5,,,0.0,,,0.0,,,0.0
1993,,,4.9,,,8.2,,,11.6,,,5.8,,,0.0,,,0.0
1994,,,3.3,,,4.5,,,10.0,,,4.8,,,0.0,,,0.0
1995,,,4.6,,,9.4,,,8.8,,,4.3,,,0.0,,,0.0
1996,,,1.0,,,7.4,,,9.7,,,8.7,,,0.0,,,0.0
1997,,,13.8,,,20.4,,,23.4,,,17.2,,,4.5,,,0.0
1998,,,3.4,,,13.0,,,18.4,,,16.4,,,4.4,,,0.0
1999,,,2.1,,,6.9,,,11.7,,,6.9,,,0.1,,,0.0
