DATE,UTNGSP
1997-01-01,57684.0
1998-01-01,62296.1
1999-01-01,66019.3
2000-01-01,70295.9
2001-01-01,73057.6
2002-01-01,75796.9
2003-01-01,78945.4
2004-01-01,86081.9
2005-01-01,95355.1
2006-01-01,106537.3
2007-01-01,114813.4
2008-01-01,117178.9
2009-01-01,113985.4
2010-01-01,118669.8
2011-01-01,125565.0
2012-01-01,129512.5
2013-01-01,135450.4
2014-01-01,142150.1
2015-01-01,149153.4
2016-01-01,157827.3
2017-01-01,168649.9
2018-01-01,184457.5
2019-01-01,196538.9
2020-01-01,202133.4
2021-01-01,225340.3
2022-01-01,248176.3
