year,pop, Annual Change
1900,277000,
1901,284000,2.53
1902,292000,2.82
1903,299000,2.4
1904,308000,3.01
1905,316000,2.6
1906,327000,3.48
1907,339000,3.67
1908,351000,3.54
1909,363000,3.42
1910,377000,3.86
1911,387000,2.65
1912,399000,3.1
1913,410000,2.76
1914,422000,2.93
1915,430000,1.9
1916,436000,1.4
1917,444000,1.83
1918,437000,-1.58
1919,446000,2.06
1920,453000,1.57
1921,457000,0.88
1922,467000,2.19
1923,474000,1.5
1924,481000,1.48
1925,487000,1.25
1926,494000,1.44
1927,500000,1.21
1928,504000,0.8
1929,508000,0.79
1930,509000,0.2
1931,513000,0.79
1932,517000,0.78
1933,520000,0.58
1934,522000,0.38
1935,526000,0.77
1936,527000,0.19
1937,529000,0.38
1938,535000,1.13
1939,543000,1.5
1940,552000,1.66
1941,551000,-0.18
1942,575000,4.36
1943,631000,9.74
1944,605000,-4.12
1945,591000,-2.31
1946,638000,7.95
1947,636000,-0.31
1948,653000,2.67
1949,671000,2.76
1950,696000,3.73
1951,706000,1.44
1952,724000,2.55
1953,739000,2.07
1954,750000,1.49
1955,783000,4.4
1956,809000,3.32
1957,826000,2.1
1958,845000,2.3
1959,870000,2.96
1960,900000,3.45
1961,936000,4
1962,958000,2.35
1963,974000,1.67
1964,978000,0.41
1965,994000,1.64
1966,1009000,1.51
1967,1019000,0.99
1968,1029000,0.98
1969,1047000,1.75
1970,1059273,1.17
1971,1101192,3.96
1972,1135449,3.11
1973,1170040,3.05
1974,1200471,2.6
1975,1236030,2.96
1976,1274928,3.15
1977,1319512,3.5
1978,1367510,3.64
1979,1420238,3.86
1980,1472595,3.69
1981,1515471,2.91
1982,1558314,2.83
1983,1594943,2.35
1984,1622342,1.72
1985,1642910,1.27
1986,1662834,1.21
1987,1678119,0.92
1988,1689372,0.67
1989,1705864,0.98
1990,1729722,1.4
1991,1771941,2.44
1992,1821498,2.8
1993,1875993,2.99
1994,1930436,2.9
1995,1976774,2.4
1996,2022253,2.3
1997,2065397,2.13
1998,2100562,1.7
1999,2129836,1.39
2000,2244502,5.38
2001,2283715,1.75
2002,2324815,1.8
2003,2360137,1.52
2004,2401580,1.76
2005,2457719,2.34
2006,2525507,2.76
2007,2597746,2.86
2008,2663029,2.51
2009,2723421,2.27
2010,2775413,1.91
2011,2814797,1.42
2012,2854146,1.4
2013,2898773,1.56
2014,2938327,1.36
2015,2983626,1.54
2016,3044241,2.03
2017,3103540,1.95
2018,3155153,1.66
2019,3203383,1.53
2020,3283785,2.51
2021,3339113,1.68
2022,3380800,1.25
