Macrotrends Data Download

Utah Population 1900-2022
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,277000
1901-12-01,284000,2.53
1902-12-01,292000,2.82
1903-12-01,299000,2.4
1904-12-01,308000,3.01
1905-12-01,316000,2.6
1906-12-01,327000,3.48
1907-12-01,339000,3.67
1908-12-01,351000,3.54
1909-12-01,363000,3.42
1910-12-01,377000,3.86
1911-12-01,387000,2.65
1912-12-01,399000,3.1
1913-12-01,410000,2.76
1914-12-01,422000,2.93
1915-12-01,430000,1.9
1916-12-01,436000,1.4
1917-12-01,444000,1.83
1918-12-01,437000,-1.58
1919-12-01,446000,2.06
1920-12-01,453000,1.57
1921-12-01,457000,0.88
1922-12-01,467000,2.19
1923-12-01,474000,1.5
1924-12-01,481000,1.48
1925-12-01,487000,1.25
1926-12-01,494000,1.44
1927-12-01,500000,1.21
1928-12-01,504000,0.8
1929-12-01,508000,0.79
1930-12-01,509000,0.2
1931-12-01,513000,0.79
1932-12-01,517000,0.78
1933-12-01,520000,0.58
1934-12-01,522000,0.38
1935-12-01,526000,0.77
1936-12-01,527000,0.19
1937-12-01,529000,0.38
1938-12-01,535000,1.13
1939-12-01,543000,1.5
1940-12-01,552000,1.66
1941-12-01,551000,-0.18
1942-12-01,575000,4.36
1943-12-01,631000,9.74
1944-12-01,605000,-4.12
1945-12-01,591000,-2.31
1946-12-01,638000,7.95
1947-12-01,636000,-0.31
1948-12-01,653000,2.67
1949-12-01,671000,2.76
1950-12-01,696000,3.73
1951-12-01,706000,1.44
1952-12-01,724000,2.55
1953-12-01,739000,2.07
1954-12-01,750000,1.49
1955-12-01,783000,4.4
1956-12-01,809000,3.32
1957-12-01,826000,2.1
1958-12-01,845000,2.3
1959-12-01,870000,2.96
1960-12-01,900000,3.45
1961-12-01,936000,4
1962-12-01,958000,2.35
1963-12-01,974000,1.67
1964-12-01,978000,0.41
1965-12-01,994000,1.64
1966-12-01,1009000,1.51
1967-12-01,1019000,0.99
1968-12-01,1029000,0.98
1969-12-01,1047000,1.75
1970-12-01,1059273,1.17
1971-12-01,1101192,3.96
1972-12-01,1135449,3.11
1973-12-01,1170040,3.05
1974-12-01,1200471,2.6
1975-12-01,1236030,2.96
1976-12-01,1274928,3.15
1977-12-01,1319512,3.5
1978-12-01,1367510,3.64
1979-12-01,1420238,3.86
1980-12-01,1472595,3.69
1981-12-01,1515471,2.91
1982-12-01,1558314,2.83
1983-12-01,1594943,2.35
1984-12-01,1622342,1.72
1985-12-01,1642910,1.27
1986-12-01,1662834,1.21
1987-12-01,1678119,0.92
1988-12-01,1689372,0.67
1989-12-01,1705864,0.98
1990-12-01,1729722,1.4
1991-12-01,1771941,2.44
1992-12-01,1821498,2.8
1993-12-01,1875993,2.99
1994-12-01,1930436,2.9
1995-12-01,1976774,2.4
1996-12-01,2022253,2.3
1997-12-01,2065397,2.13
1998-12-01,2100562,1.7
1999-12-01,2129836,1.39
2000-12-01,2244502,5.38
2001-12-01,2283715,1.75
2002-12-01,2324815,1.8
2003-12-01,2360137,1.52
2004-12-01,2401580,1.76
2005-12-01,2457719,2.34
2006-12-01,2525507,2.76
2007-12-01,2597746,2.86
2008-12-01,2663029,2.51
2009-12-01,2723421,2.27
2010-12-01,2775413,1.91
2011-12-01,2814797,1.42
2012-12-01,2854146,1.4
2013-12-01,2898773,1.56
2014-12-01,2938327,1.36
2015-12-01,2983626,1.54
2016-12-01,3044241,2.03
2017-12-01,3103540,1.95
2018-12-01,3155153,1.66
2019-12-01,3203383,1.53
2020-12-01,3283785,2.51
2021-12-01,3339113,1.68
2022-12-01,3380800,1.25
